195,208
238,217
280,225
320,233
359,240
396,247
433,253
468,259
502,264
536,269
568,274
600,278
632,282
663,286
693,289
723,292
753,295
782,297
811,300
840,302
194,249
237,257
279,264
319,271
357,277
395,283
431,289
466,294
500,299
533,303
566,307
598,311
629,314
659,317
690,320
720,323
749,326
778,328
808,330
837,332
194,289
237,296
278,302
318,308
356,314
393,319
429,324
464,328
498,332
531,336
564,340
595,343
626,346
657,349
687,352
717,354
746,356
775,358
804,360
833,361
194,328
236,334
277,340
317,345
355,350
392,354
428,358
463,362
496,366
529,369
562,372
593,375
624,378
654,380
685,382
714,384
744,386
773,388
802,389
831,391
193,367
236,372
277,376
316,381
354,385
391,389
427,392
461,395
495,399
528,401
560,404
591,406
622,408
653,410
683,412
712,414
742,415
771,417
799,418
828,419
193,405
235,409
276,413
315,416
353,420
390,423
426,426
460,428
494,431
526,433
559,435
590,437
621,439
651,441
681,442
710,444
740,445
769,446
798,447
826,448
193,442
235,445
276,449
315,451
353,454
389,457
425,459
459,461
493,463
525,464
557,466
589,468
619,469
650,470
679,472
709,473
738,474
767,475
796,476
825,476
192,479
235,482
275,484
314,486
352,488
389,490
424,492
459,493
492,494
524,496
557,497
588,498
619,499
649,500
678,501
708,502
737,503
766,503
795,504
824,504
192,516
234,518
275,519
314,521
352,522
389,523
424,524
458,525
491,526
524,527
556,528
587,528
618,529
648,530
678,530
707,531
736,531
765,532
794,532
823,532
192,554
234,554
275,555
314,555
352,556
388,556
424,557
458,557
491,558
523,558
556,558
587,559
617,559
648,559
677,559
707,560
736,560
765,560
794,561
823,561
193,590
235,590
275,590
314,590
352,590
389,590
424,590
458,590
491,589
524,589
556,589
587,589
618,589
648,589
678,589
707,589
736,589
765,589
794,589
823,589
193,628
235,627
275,626
314,625
352,624
389,623
424,622
458,622
491,621
524,620
556,620
587,619
618,619
648,618
678,618
708,618
737,618
766,617
795,617
823,617
193,665
235,663
276,661
315,659
352,658
389,656
424,655
458,654
492,653
524,652
556,651
588,650
618,649
649,648
679,648
708,647
737,646
767,646
795,645
824,645
193,702
235,699
276,696
315,694
353,692
389,690
425,688
459,686
492,684
525,683
557,682
589,681
619,679
650,678
680,677
709,676
739,675
768,675
796,674
825,673
193,740
235,736
276,733
315,729
353,726
390,723
425,721
460,719
493,717
526,715
558,713
590,711
621,710
651,708
681,707
711,706
740,705
769,704
798,703
827,702
193,778
236,773
277,769
316,765
354,761
391,758
426,755
461,752
495,749
527,747
560,745
591,743
622,741
652,739
683,737
712,735
742,734
771,733
800,732
829,731
194,817
236,811
277,806
317,801
355,797
392,793
427,789
462,785
496,782
529,779
561,777
593,774
624,772
654,770
685,767
715,766
744,764
773,762
802,761
831,760
194,856
237,849
278,844
317,838
356,833
393,828
429,823
464,819
498,816
531,812
563,809
595,806
626,803
657,801
687,798
717,796
746,794
776,792
805,790
834,789
194,896
237,889
279,882
318,875
357,869
394,864
430,859
465,854
499,850
533,846
565,842
597,839
628,835
659,833
690,830
720,827
749,825
779,822
808,820
837,819
195,937
238,929
280,921
320,913
358,907
396,900
432,894
467,889
502,884
535,880
568,875
600,872
631,868
662,864
693,861
723,858
752,855
782,853
811,851
841,849
1085,296
1114,293
1143,291
1172,288
1202,284
1232,281
1262,277
1293,273
1324,269
1355,264
1388,260
1421,254
1455,248
1490,242
1526,235
1563,228
1601,221
1640,213
1682,204
1725,194
1089,326
1118,323
1147,321
1176,318
1206,315
1235,312
1266,309
1296,305
1327,302
1358,297
1391,293
1424,288
1457,283
1492,278
1528,272
1564,265
1603,258
1642,251
1683,243
1726,235
1093,355
1122,353
1151,351
1180,349
1209,346
1239,343
1269,341
1299,337
1330,334
1361,330
1393,326
1426,322
1460,318
1494,313
1529,308
1566,302
1604,296
1643,289
1684,283
1727,275
1096,384
1125,382
1154,380
1183,378
1212,376
1242,374
1272,371
1302,369
1332,366
1364,362
1396,359
1428,356
1461,351
1496,348
1531,343
1567,338
1605,333
1644,327
1685,321
1728,314
1099,413
1128,411
1157,410
1186,408
1215,406
1244,404
1274,402
1304,399
1335,397
1366,394
1398,391
1430,388
1463,385
1497,381
1532,377
1569,373
1607,369
1646,364
1686,359
1729,353
1102,441
1130,440
1159,439
1188,437
1217,435
1247,434
1276,432
1306,430
1337,428
1368,425
1399,423
1432,420
1465,418
1499,415
1534,412
1570,408
1607,404
1646,400
1687,396
1729,391
1104,469
1132,468
1161,467
1190,466
1219,464
1248,463
1278,462
1308,460
1338,458
1369,457
1401,455
1433,453
1466,450
1500,448
1535,445
1571,443
1608,440
1647,436
1688,433
1730,429
1105,497
1134,496
1163,495
1192,494
1221,493
1250,492
1279,491
1309,490
1339,488
1370,487
1402,486
1434,484
1467,483
1501,481
1536,479
1572,477
1609,474
1648,472
1688,470
1731,467
1107,525
1135,524
1164,524
1193,523
1222,522
1251,522
1280,521
1310,520
1340,519
1371,518
1403,517
1435,516
1468,515
1501,513
1536,512
1572,511
1610,509
1648,508
1689,506
1731,504
1107,553
1136,552
1165,552
1193,552
1222,551
1251,551
1281,550
1311,550
1341,549
1372,549
1403,548
1435,547
1468,547
1502,546
1537,546
1573,545
1610,544
1649,544
1689,543
1731,542
1108,581
1137,581
1165,580
1194,580
1223,580
1252,580
1281,580
1311,580
1341,579
1372,579
1404,579
1436,579
1469,579
1502,579
1537,579
1573,579
1611,579
1649,579
1690,579
1732,579
1108,608
1136,608
1165,609
1194,609
1223,609
1252,609
1281,609
1311,609
1341,610
1372,610
1404,611
1436,611
1469,611
1502,612
1538,612
1574,613
1611,614
1650,615
1690,616
1732,617
1107,636
1136,637
1165,637
1193,637
1222,638
1252,638
1281,639
1311,639
1341,640
1372,641
1403,642
1436,643
1469,643
1502,645
1537,646
1574,647
1611,649
1650,650
1690,652
1732,654
1106,664
1135,665
1164,665
1192,666
1221,667
1251,667
1280,668
1310,669
1340,670
1371,672
1403,673
1435,675
1468,676
1502,678
1537,680
1573,682
1611,684
1650,686
1690,689
1732,692
1105,693
1133,693
1162,694
1191,695
1220,696
1249,697
1279,698
1309,700
1339,701
1370,703
1402,705
1434,707
1467,709
1501,711
1537,714
1573,716
1610,720
1649,723
1690,726
1732,730
1103,721
1131,722
1160,723
1189,724
1219,725
1248,727
1278,729
1308,730
1338,732
1369,734
1401,737
1433,740
1466,742
1501,745
1536,748
1573,752
1610,756
1649,760
1690,764
1732,768
1101,750
1129,751
1158,752
1187,754
1216,755
1246,757
1275,759
1306,761
1336,764
1367,766
1399,769
1432,772
1465,776
1500,779
1535,783
1571,787
1609,792
1649,797
1690,802
1732,807
1098,779
1126,780
1155,782
1185,784
1214,786
1244,788
1273,790
1304,793
1334,796
1366,799
1398,802
1430,806
1464,810
1498,814
1534,818
1571,823
1609,828
1648,834
1689,840
1731,847
1095,809
1123,810
1152,812
1181,814
1211,816
1241,819
1271,822
1301,825
1332,828
1363,832
1395,836
1428,840
1462,844
1497,849
1532,854
1569,860
1608,866
1647,872
1688,879
1731,887
1091,838
1120,840
1149,843
1178,845
1208,847
1238,850
1268,854
1298,857
1329,861
1361,865
1393,869
1426,874
1460,879
1495,884
1531,891
1568,897
1606,904
1646,911
1687,919
1730,928
